Date,Actual,Predicted,Residual
2019-01-03,53585.0625,58030.68804875192,-4445.625548751923
2019-01-04,54142.265625,57671.74988871872,-3529.4842637187176
2019-01-07,54513.75,60326.21923019351,-5812.4692301935065
2019-01-08,54978.09375,48634.760727510286,6343.3330224897145
2019-01-09,59064.29296875,46714.74606396246,12349.546904787538
2019-01-10,60643.0625,47439.300835137445,13203.761664862555
2019-01-11,60457.328125,54797.658839573705,5659.669285426295
2019-01-14,57671.27734375,57672.03386321759,-0.7565194675917155
2019-01-15,59435.77734375,62079.1107812862,-2643.333437536203
2019-01-16,60178.72265625,63742.407611140516,-3563.6849548905157
2019-01-17,60271.59375,66668.08614879876,-6396.492398798757
2019-01-18,59992.9765625,63256.33595501111,-3263.3593925111127
2019-01-21,62221.83203125,61877.302998208026,344.5290330419739
2019-01-22,61850.359375,58798.305017318526,3052.0543576814744
2019-01-23,62036.09375,58609.94242410972,3426.151325890278
2019-01-24,65472.21875,57166.105287235325,8306.113462764675
2019-01-25,69279.8125,63282.79472793308,5997.0177720669235
2019-01-28,66679.5078125,67886.4552672744,-1206.947454774403
2019-01-29,68165.40625,70350.3519227941,-2184.9456727940997
2019-01-30,70487.1015625,71213.95717693104,-726.8556144310423
2019-01-31,68629.7578125,73734.60475002645,-5104.846937526454
2019-02-01,70487.1015625,69550.39642938461,936.7051331153925
2019-02-07,71230.046875,70398.0615971469,831.9852778531058
2019-02-08,68258.28125,67841.60670973925,416.6745402607485
2019-02-11,68815.484375,66377.03427109629,2438.450103903713
2019-02-12,70487.1015625,65724.51122229129,4762.590340208713
2019-02-13,70765.7265625,69563.60480197365,1202.1217605263519
2019-02-14,71880.15625,70830.77889647057,1049.3773535294313
2019-02-15,68536.8671875,74799.5147413772,-6262.6475538772065
2019-02-18,69372.6875,71224.59630729245,-1851.9088072924496
2019-02-19,68444.0234375,72153.13154228177,-3709.1081047817715
2019-02-20,70301.3671875,67956.16277121953,2345.204416280467
2019-02-21,71230.046875,69495.67978781884,1734.3670871811628
2019-02-22,71230.046875,68014.70618962211,3215.340685377887
2019-02-25,70022.7734375,70037.64041485389,-14.866977353885886
2019-02-26,69837.0390625,68446.87177952306,1390.1672829769377
2019-02-27,68444.0234375,70791.29051775273,-2347.267080252728
2019-02-28,65007.875,68893.53953623498,-3885.664536234981
2019-03-04,65100.7421875,67707.7290303321,-2606.986842832106
2019-03-05,64729.2734375,65505.287009691085,-776.0135721910847
2019-03-06,63243.375,65481.311483890044,-2237.9364838900437
2019-03-07,63243.375,62294.80706068621,948.5679393137907
2019-03-08,61943.22265625,62951.33562080973,-1008.1129645597321
2019-03-11,61850.359375,60343.28398874027,1507.0753862597267
2019-03-12,62871.90625,61862.64785490839,1009.2583950916087
2019-03-13,62036.09375,61928.76605538258,107.32769461742282
2019-03-14,62500.44140625,63374.03937657432,-873.5979703243211
2019-03-15,63243.375,63025.094245569904,218.28075443009584
2019-03-18,62964.7734375,64748.62763824466,-1783.8542007446595
2019-03-19,63150.49609375,63096.390649170986,54.10544457901415
2019-03-20,65472.21875,63782.947103706036,1689.2716462939643
2019-03-21,70487.1015625,63971.74860451173,6515.352957988267
2019-03-22,70672.84375,69453.68888653241,1219.1548634675855
2019-03-25,67701.0625,69650.3580805935,-1949.2955805935053
2019-03-26,67515.3359375,69295.33198265677,-1779.996045156775
2019-03-27,68165.40625,67535.16843730082,630.2378126991825
2019-03-28,67143.8359375,68497.18421129037,-1353.3482737903687
2019-03-29,68908.34375,66438.03442380215,2470.30932619785
2019-04-01,71137.2109375,68951.86238548231,2185.348552017691
2019-04-02,70951.453125,69938.67214190631,1012.7809830936894
2019-04-03,74201.8515625,71735.48191391586,2466.3696485841356
2019-04-04,72808.828125,73948.05265537078,-1139.224530370775
2019-04-05,73366.015625,74041.84247386128,-675.8268488612812
2019-04-08,72344.4609375,73665.2362905642,-1320.775353064193
2019-04-09,72251.6328125,72737.7850080071,-486.152195507093
2019-04-10,72994.5546875,71408.88889253962,1585.6657949603832
2019-04-11,72808.828125,72156.04723926887,652.780885731132
2019-04-12,72530.234375,71635.8078822315,894.4264927684999
2019-04-15,74016.1171875,72543.90701316718,1472.210174332824
2019-04-16,74666.1796875,73766.33572901774,899.8439584822627
2019-04-17,74480.453125,75531.7230278121,-1051.2699028120987
