Date,Actual,Predicted,Residual
2019-01-03,29.2386531829834,31.07663753464332,-1.837984351659923
2019-01-04,29.757732391357425,29.476766655285456,0.28096573607196973
2019-01-07,29.978965759277344,29.720711549809646,0.2582542094676974
2019-01-08,29.732192993164062,29.944927534676037,-0.21273454151197413
2019-01-09,30.30233192443848,29.760231811088524,0.5421001133499566
2019-01-10,30.991596221923828,30.230882090276285,0.7607141316475428
2019-01-11,31.153291702270508,30.891332640907027,0.26195906136348057
2019-01-14,30.42997360229492,31.11876499574553,-0.6887913934506109
2019-01-15,30.668249130249023,30.520757628527495,0.1474915017215288
2019-01-16,30.327865600585938,30.648809467546148,-0.32094386696021004
2019-01-17,30.8809757232666,30.37016661757634,0.5108091056902602
2019-01-18,31.348997116088867,30.813650103795155,0.5353470122937125
2019-01-22,30.94904899597168,31.27843735348214,-0.32938835751046014
2019-01-23,31.051166534423828,30.992463013006688,0.05870352141714008
2019-01-24,32.02976608276367,31.04342929775256,0.9863367850111118
2019-01-25,32.45523452758789,31.89976500345908,0.5554695241288101
2019-01-28,31.859569549560547,32.382022579341694,-0.5224530297811469
2019-01-29,30.915019989013672,31.92842986055132,-1.0134098715376467
2019-01-30,31.80850601196289,31.04858935302795,0.7599166589349409
2019-01-31,32.01273727416992,31.708347539375893,0.30438973479402875
2019-02-01,31.97019386291504,31.972618123537192,-0.0024242606221527296
2019-02-04,32.2850456237793,31.970513385112916,0.3145322386663807
2019-02-05,32.54884338378906,32.24358967169062,0.3052537120984411
2019-02-06,32.9658088684082,32.50861035929116,0.45719850911704185
2019-02-07,32.438209533691406,32.90554922834926,-0.4673396946578521
2019-02-08,32.15742111206055,32.49980580144767,-0.3423846893871243
2019-02-11,32.582889556884766,32.20254807055393,0.38034148633083475
2019-02-12,32.88071060180664,32.53275981978207,0.34795078202456864
2019-02-13,32.44672775268555,32.83485002163213,-0.38812226894658153
2019-02-14,32.38715362548828,32.49788301185459,-0.1107293863663088
2019-02-15,32.41269302368164,32.401747970905696,0.01094505277594493
2019-02-19,32.727542877197266,32.411250444741526,0.31629243245573946
2019-02-20,33.18705749511719,32.68585492819245,0.5012025669247393
2019-02-21,33.1700325012207,33.120998035873036,0.04903446534766687
2019-02-22,33.518917083740234,33.163569664677254,0.35534741906297995
2019-02-25,33.68060302734375,33.472081612622965,0.208521414720785
2019-02-26,33.6976203918457,33.65311950509884,0.04450088674686015
2019-02-27,33.56998443603516,33.691755089653775,-0.12177065361861139
2019-02-28,33.22960662841797,33.58603404164514,-0.3564274132271734
2019-03-01,33.518917083740234,33.27658444483668,0.24233263890355516
2019-03-04,33.314697265625,33.48697717732395,-0.17227991169895063
2019-03-05,33.204071044921875,33.337404088288125,-0.13333304336624963
2019-03-06,33.00835037231445,33.22164459566842,-0.21329422335396941
2019-03-07,32.87220764160156,33.036462959887814,-0.1642553182862514
2019-03-08,32.50628662109375,32.893856807467856,-0.3875701863741057
2019-03-11,32.88071060180664,32.55736911472127,0.32334148708537214
2019-03-12,33.101959228515625,32.83809357388694,0.26386565462868816
