ticker,order_p,order_d,order_q,aic,bic,log_likelihood,n_params,residuals_look_random,ljung_box_pvalue,has_arch_effect,arch_pvalue,rmse,mae,mape,rmse_insample,mae_insample,mape_insample
NVDA,0,1,4,8536.974779071908,8564.645920703279,-4263.487389535954,5,True,0.8560799678308855,True,1.1011000664746461e-88,15.890680604428649,13.52082129062353,6.167464458257863,2.3626044470769285,1.2628074334290227,2.3304596954685577
AMD,2,1,2,11482.366730546855,11510.037872178225,-5736.183365273428,5,False,0.0001245536262833976,True,7.474865371796126e-137,116.51325531721486,105.86694143388566,22.077753287588862,5.188630268026889,2.8944622081848324,2.512181712821899
SMCI,0,1,4,7851.97068745622,7879.64182908759,-3920.98534372811,5,False,0.0002620483278202005,True,6.50798093752018e-116,10.91036977725871,8.78492971080801,22.002281182127245,1.967377648809974,0.823060491421263,2.9892827985594557
ARM,0,1,0,4725.066558077418,4729.600346915352,-2361.533279038709,1,True,0.18631278772255222,True,1.1751377077303867e-38,105.3809599965566,78.49699452718099,22.80152418484145,7.489654196316883,4.468270307363462,3.1635763226976636
MU,2,2,4,13207.44539758774,13246.18125355668,-6596.72269879387,7,False,4.457073015093466e-18,True,1.942140588577709e-196,311.60966363847496,281.8074936629862,32.15488924021594,8.221562444554706,3.1551070118859337,2.5576033490668357
AVGO,4,1,0,11147.51131849143,11175.1824601228,-5568.755659245715,5,True,0.19458648253029273,True,5.5187300890007604e-42,24.5083923783424,16.7408351180234,3.9648963772970247,4.746434977201006,2.200743113075233,1.8300880567881113
TSM,0,1,1,10238.635790177594,10249.704246830142,-5117.317895088797,2,False,1.582016344563505e-05,True,2.461964716928752e-84,23.56147131533556,18.842480297891495,4.444855512152746,3.728958311622585,2.253080904960869,1.7198736822445604
000660.KS,5,1,3,40884.034856017606,40933.60900498972,-20433.017428008803,9,False,4.684791411685752e-14,True,2.750865947930182e-125,713397.28665616,642615.5614426215,31.57298910486,17823.807870194043,6292.304958076751,2.6184253518561182
