ticker,arima_order,n_train,n_test,arima_multistep_mape,arima_multistep_rmse,rolling_arima_mape,rolling_arima_rmse,hybrid_mape,hybrid_rmse
TSM,"(0, 1, 1)",1498,374,27.690577156459433,111.59116687557952,1.9299212764873426,6.9715375078838395,2.169674976386161,7.681878237059065
NVDA,"(0, 1, 4)",1498,374,20.91881920456165,42.214606461534586,2.04167738823862,4.34117856008633,2.184702454362297,4.59227004823293
AVGO,"(4, 1, 0)",1498,374,36.58529625785306,141.0756413833253,2.2771451637523143,9.913510650705906,2.658204671570363,10.790780082251473
AMD,"(2, 1, 2)",1498,374,32.155450297033816,115.33995911708887,2.7304188643243026,9.891136478781796,2.9323495483078226,10.34356693413229
000660.KS,"(5, 1, 3)",1460,364,49.34914052881575,642238.7236042265,3.0533227134915837,43263.49037537786,3.3425038387494816,44137.66248301793
MU,"(2, 2, 4)",1498,374,39.347707210488714,254.86240291793612,3.3072394873937387,19.258940368652162,3.50793406042265,19.76640634713322
ARM,"(0, 1, 0)",552,137,22.184050098568164,82.40437152135576,3.4442948386824526,12.334229542859816,3.9155835737977833,14.33565531218767
SMCI,"(0, 1, 4)",1498,374,20.97638958245437,8.854114967222637,4.196573216155201,2.296985993791306,4.493495611271723,2.4735176429623937
