Date,Close,High,Low,Open,Volume
2019-01-02,31.940645217895508,32.26249167307027,29.990071464130896,30.233893183351473,26004300
2019-01-03,30.233901977539062,31.355483700359812,30.097362370327897,31.03363715156898,29145500
2019-01-04,31.891889572143555,32.22348734180276,30.77030789583078,30.877590074312447,28557300
2019-01-07,33.15976333618164,33.598643300892626,32.48681653724163,32.86717793318273,44841500
2019-01-08,32.90618896484375,33.73518152613068,31.999171648392114,33.69616914854833,33434100
2019-01-09,34.564178466796875,35.39317485354509,34.05702865524428,34.10579599361373,54147900
2019-01-10,35.022560119628906,35.061572497096165,34.21307374952118,34.38862200727369,24437400
2019-01-11,35.12008285522461,35.82229067820681,34.14479586571582,34.54466338259744,30469800
2019-01-14,33.813201904296875,34.057023678814474,33.41333434290501,33.861969235540414,34612000
2019-01-15,33.15000534057617,34.35935908510112,32.81840762602749,34.15454971681577,30633600
2019-01-16,32.750144958496094,33.481610336087485,32.70137762364976,33.19877616385008,24890900
2019-01-17,33.0427360534668,33.354827703995625,31.852884310559425,32.40879779559052,29398500
2019-01-18,34.876258850097656,35.29563252607183,33.21827405160372,33.38407104328337,44872400
2019-01-22,33.032981872558594,34.37887947234412,32.720890214699054,34.37887947234412,37021900
2019-01-23,33.39383316040039,33.83270939508642,32.613600475569285,33.26704479105156,31011600
2019-01-24,35.68575668334961,36.51474926608286,34.2325772044261,34.437390331819486,65094800
2019-01-25,37.997188568115234,38.3385413217092,36.573270143433014,37.14868974250671,61032300
2019-01-28,37.138938903808594,37.997188973627566,35.74427788982093,36.03686331000583,44213000
2019-01-29,36.46599197387695,38.0166989476456,36.32945234556444,37.3339970856572,30331000
2019-01-30,37.294986724853516,37.80213282968882,36.661048513170876,37.353501579797616,32848100
2019-01-31,37.275474548339844,37.86064532638338,36.35870228353322,36.70005500441284,34130500
2019-02-01,38.621368408203125,38.87494514247596,37.28522609744662,37.36325085273829,36839900
2019-02-04,38.49458694458008,38.63112655720576,37.55830840578536,38.572607985898145,30851500
2019-02-05,38.397056579589844,39.33333513270265,38.201998392673616,38.27027192045595,25094000
2019-02-06,40.493919372558594,40.92304434167112,39.37233775999018,39.401598901819945,47472600
2019-02-07,38.40681457519531,40.035542565950244,37.948428357723216,39.80147569946398,40396400
2019-02-08,37.62657928466797,37.821633734449485,36.524503785361674,36.86585279290448,35573200
2019-02-11,37.62657928466797,37.90940972502123,36.43672779478993,37.646081753306,30356500
2019-02-12,39.40160369873047,39.76245891488036,38.27027071476902,38.41656156002826,43587900
2019-02-13,40.64997100830078,41.23514184322082,39.79171722604935,39.84048084222178,50101700
2019-02-14,41.18638229370117,42.093399781681946,40.28911976217333,40.36714081166775,41759200
2019-02-15,40.95231246948242,41.352180085402786,40.39639532498285,41.22539170364495,28968400
