Date,Close,High,Low,Open,Volume
2019-01-02,56278.24609375,57021.19323690182,55721.03573638614,56928.32484400784,1934295
2019-01-03,53585.0625,55999.64070623917,53399.325714904684,55906.77231369151,3337621
2019-01-04,54142.265625,54328.0023852916,52656.37154266724,53399.31858383362,3388087
2019-01-07,54513.75,55442.43398637138,54235.14480408859,54792.35519591142,2273750
2019-01-08,54978.09375,56185.38297086149,53492.19932432433,53770.80452913851,3062192
2019-01-09,59064.29296875,59250.02973909198,55163.820791568396,55349.55756191038,4928656
2019-01-10,60643.0625,60921.66768759571,59435.77335375191,59528.64174961715,6034432
2019-01-11,60457.328125,61200.27532162059,59621.512528801846,60735.93332373272,2890639
2019-01-14,57671.27734375,60457.32938934179,57578.40894223028,59714.38217718398,3282892
2019-01-15,59435.77734375,59435.77734375,57764.14610595703,57764.14610595703,2413868
2019-01-16,60178.72265625,60271.591055410885,58228.48627387153,59250.03866464121,2478497
2019-01-17,60271.59375,61478.882993066254,59992.98854006163,60828.804169876734,2830122
2019-01-18,59992.9765625,61014.52879498839,59342.8978690983,60364.45010158669,2263599
2019-01-21,62221.83203125,62593.30565531717,60364.46391091418,61200.2795650653,3977425
2019-01-22,61850.359375,63150.51707957958,61014.54370777027,63057.64867210961,4047917
2019-01-23,62036.09375,62407.56736526947,60178.7256736527,60828.80450037425,2825017
2019-01-24,65472.21875,65472.21875,62128.95651595745,62128.95651595745,6914092
2019-01-25,69279.8125,69465.54926273458,66029.41915214478,66493.76105898124,7163871
2019-01-28,66679.5078125,69558.42806624304,66122.2974408078,69372.69127567897,4972189
2019-01-29,68165.40625,68536.87985354224,65936.5646287466,66308.03823228883,3368642
2019-01-30,70487.1015625,70858.57508852109,67793.91849884717,68258.26040637352,5304841
2019-01-31,68629.7578125,71601.54705471921,68444.0209848613,71415.81022708051,4447535
2019-02-01,70487.1015625,70951.44347002635,69372.68098443675,70022.75965497365,3349965
2019-02-07,71230.046875,72623.07256355933,71137.17849576271,71972.99390889831,4249110
2019-02-08,68258.28125,70115.6494472789,67793.93920068027,69837.04421768707,4012485
2019-02-11,68815.484375,68815.484375,67050.98477564102,67793.93197537112,3374192
2019-02-12,70487.1015625,70951.44347002635,68629.73393239459,68815.47069540514,3526701
2019-02-13,70765.7265625,72065.8842683727,70672.85815493765,71787.27904568569,2378193
2019-02-14,71880.15625,71880.15625,69744.18261466408,70394.26154715763,2313376
2019-02-15,68536.8671875,71415.7870829099,68536.8671875,71322.918699187,4154616
2019-02-18,69372.6875,69929.89784136545,68722.60876840695,69001.21393908969,1772434
2019-02-19,68444.0234375,69465.57602611941,67793.94451746947,69186.97077467774,1462071
2019-02-20,70301.3671875,70579.97234147952,68351.13110964332,68443.99949430316,3134257
2019-02-21,71230.046875,71694.38877118644,69279.81091101695,69929.88956567796,2874589
2019-02-22,71230.046875,71230.046875,69929.88956567796,70208.49470338984,1882653
2019-02-25,70022.7734375,72065.87823275862,69465.5630387931,71787.27303340517,2865712
2019-02-26,69837.0390625,70487.11788356051,68815.48662940493,69651.30225648271,2483512
2019-02-27,68444.0234375,70301.39178044436,68444.0234375,69929.9181118555,2864044
2019-02-28,65007.875,67422.45321428572,64915.00660714286,67329.58482142857,7869451
2019-03-04,65100.7421875,66308.03127228959,64915.005405224685,65286.47896977532,4931703
2019-03-05,64729.2734375,65007.87863163558,63429.11586486729,63429.11586486729,3465521
2019-03-06,63243.375,64636.40088105727,62593.29625550661,63614.84856828194,4958303
2019-03-07,63243.375,63986.32213656388,62314.69107929515,62407.55947136564,3402570
2019-03-08,61943.22265625,63336.24865301724,61478.88065732759,63057.64345366379,3571792
2019-03-11,61850.359375,62964.78026463964,61478.88574512012,62221.83300487988,2869008
2019-03-12,62871.90625,63707.721842688334,62686.16945162482,62871.90625,2753535
2019-03-13,62036.09375,62964.777788173655,61200.27811564372,62871.90938435629,2851596
2019-03-14,62500.44140625,62593.30981844354,61664.62569650818,62593.30981844354,3107100
2019-03-15,63243.375,63800.58535242291,61943.217511013216,62593.29625550661,3645592
2019-03-18,62964.7734375,64357.79939850664,62500.43145049779,64264.9310011062,2158588
2019-03-19,63150.49609375,63150.49609375,61850.33882123162,62500.41745749081,2285169
2019-03-20,65472.21875,65565.08714539008,62779.03528368795,63521.98244680851,3642962
2019-03-21,70487.1015625,70579.96994400526,67422.44497282608,68258.26040637352,10030131
