Date,Close,High,Low,Open,Volume
2019-01-02,20.959407806396484,21.057792827569557,20.379016605198384,20.574134018883058,30346000
2019-01-03,19.095050811767578,20.383155360589477,19.042964609760347,20.21945519273696,68580000
2019-01-04,19.282726287841797,19.548946224663663,19.153750257533222,19.370364514062913,54248000
2019-01-07,19.675443649291992,19.862293254282243,19.078516490867255,19.3174523017739,53433000
2019-01-08,19.517528533935547,19.999534826132333,19.2943006116991,19.85154252583107,36795000
2019-01-09,20.36166000366211,20.394729932054197,19.664693640537216,19.71181880100019,52971000
2019-01-10,20.629531860351562,20.716342193432208,20.2029201795346,20.302957852740235,29594000
2019-01-11,20.716346740722656,20.91063792811485,20.61300063286493,20.622096402367546,20158000
2019-01-14,20.74114418029785,20.799845622499728,20.330240392628674,20.51295681183746,25498000
2019-01-15,21.205793380737305,21.67953187178658,20.83540099110508,20.89740770579349,39247000
2019-01-16,20.80976676940918,21.27689149339376,20.781656307595785,21.264488891454885,24484000
2019-01-17,21.10988426208496,21.276891248200855,20.563389199733507,20.674176839806513,35154000
2019-01-18,21.563779830932617,21.656377513014302,21.24795424217315,21.424055416408645,34634000
2019-01-22,21.354612350463867,21.451343205343566,21.074337138759002,21.330635032708276,37156000
2019-01-23,21.290952682495117,21.571226333770582,20.9709922708451,21.457959717271883,31771000
2019-01-24,21.789487838745117,22.054053559856218,21.495985340445998,21.586102506983536,35999000
2019-01-25,22.15243911743164,22.18302852217216,21.57121992719363,21.923423854432563,30333000
2019-01-28,22.125986099243164,22.227679570844288,21.38437500903405,21.62496503470146,31320000
2019-01-29,22.018505096435547,22.12433170980145,21.812639225662753,22.103662806653034,27870000
2019-01-30,22.390552520751953,22.63279516574959,22.105316284766296,22.322756875807816,28727000
2019-01-31,22.178075790405273,22.405436916542612,22.020989261991488,22.369058568663505,21063000
2019-02-01,22.059017181396484,22.28968511137639,21.90027804554667,22.252482030870457,22878000
2019-02-04,22.498031616210938,22.499685822367162,21.905239191986634,22.116064533878184,20761000
2019-02-05,22.322763442993164,22.705556955123434,22.315321878455308,22.484809463741303,22619000
2019-02-06,22.836185455322266,23.14953064833211,22.550122842943328,22.593114866279564,27064000
2019-02-07,22.247520446777344,22.70058999575476,22.01685094548686,22.559211354760638,28646000
2019-02-08,22.65842628479004,22.677442560486078,22.07968748281665,22.10201059408235,23903000
2019-02-11,22.79566764831543,22.818817071636985,22.593934931881066,22.686534202103477,18012000
2019-02-12,23.099088668823242,23.181765849345425,22.90645173706011,23.037908280627413,19809000
2019-02-13,23.25865936279297,23.32810763774742,22.981692577599972,23.14952590873989,19190000
2019-02-14,23.273534774780273,23.384322405810703,23.062709484689165,23.199125477822026,16015000
2019-02-15,23.30908966064453,23.487671364529245,23.049483403775156,23.487671364529245,17352000
2019-02-19,23.286767959594727,23.383500378763497,23.16192507607686,23.244602263071076,15152000
2019-02-20,23.432275772094727,23.697669373278103,23.33802546011336,23.41822211829373,16150000
2019-02-21,23.227245330810547,23.426495992043794,23.06106460552439,23.417401799081755,13254000
2019-02-22,22.860157012939453,23.149526408432124,22.708031541068554,23.14539325828261,27225000
2019-02-25,23.03377342224121,23.218142464579334,23.023851341307964,23.214007738545167,19245000
2019-02-26,22.736143112182617,22.985001025160123,22.690670573648426,22.97838577688883,27211000
2019-02-27,22.445945739746094,22.744409319691727,22.28803291543255,22.58897701618072,29146000
2019-02-28,22.76590347290039,22.79484025268181,22.2094894095775,22.3202754873303,31460000
2019-03-01,22.55011749267578,22.997399692208756,22.41618198874427,22.96184924126294,19035000
2019-03-04,22.7270450592041,22.86676948673903,22.393857374028325,22.73613924997882,17382000
2019-03-05,22.902326583862305,23.185908670904393,22.697286978424085,22.777483666529097,21699000
2019-03-06,22.434370040893555,22.89570746647364,22.36244124852778,22.87338435716862,19973000
2019-03-07,21.9515380859375,22.350040922900895,21.83331044208253,22.337638319044583,25411000
2019-03-08,21.8424015045166,21.889526661610677,21.429843493575888,21.624960945642687,22167000
2019-03-11,22.245037078857422,22.368225744641556,21.83082644553918,21.900274708332272,27161000
2019-03-12,22.292165756225586,22.325237263885544,21.849018276748843,22.3029141539087,23324000
2019-03-13,22.422794342041016,22.57740031732744,22.241732108749037,22.36492078486132,32089000
2019-03-14,22.173934936523438,22.509603121899758,22.14830499483886,22.49554789085105,43094000
2019-03-15,24.000268936157227,24.76585727303669,23.43889383829947,23.683616991585502,144066000
2019-03-18,24.293771743774414,24.553376430272856,23.993653991291065,23.99530819728609,56746000
2019-03-19,24.746015548706055,24.884085780212242,24.316095415128324,24.320230142011795,51556000
2019-03-20,24.276386260986328,24.941206197255795,24.214657765622167,24.857790472645053,41263000
2019-03-21,24.757688522338867,24.972066053648625,24.273879313900594,24.347284311318166,27379000
2019-03-22,24.41152000427246,24.727664176398342,24.30725073845408,24.68428812363335,23307000
2019-03-25,24.37064552307129,24.53914436895864,24.10705284378601,24.373981897590447,23878000
2019-03-26,24.776874542236328,24.98040926843773,24.543312449743222,24.55499055436788,28009000
2019-03-27,24.688459396362305,24.914515084726784,24.39567144256609,24.821923927225768,21862000
2019-03-28,24.94704246520996,25.29988987493708,24.66342998780893,24.78354899968398,33030000
2019-03-29,25.083845138549805,25.247340206773313,24.881145683680632,25.126387490504616,24493000
2019-04-01,25.507596969604492,25.587674727045385,25.003767849404063,25.28404397800364,27040000
2019-04-02,25.279037475585938,25.637723953711316,25.242334177366097,25.53845846846123,22857000
2019-04-03,25.374967575073242,25.64189663029457,25.176438175414344,25.543466421855005,22266000
2019-04-04,25.19145393371582,25.5251152485882,25.163926059839742,25.420845988251667,15228000
2019-04-05,25.381641387939453,25.39498847766899,25.17477183877943,25.35828517417982,18875000
2019-04-08,25.3983211517334,25.466722391219054,25.19145163271489,25.36995958457971,13899000
2019-04-09,25.312402725219727,25.367456876856917,25.048810072198552,25.239831415835358,11621000
2019-04-10,25.65106964111328,25.672758460093338,25.274866002387498,25.324916388792616,14992000
2019-04-11,25.80956268310547,25.87462596640465,25.544301010371747,25.704459721919378,16669000
2019-04-12,26.445192337036133,26.47939296791034,25.906328749820563,25.9713936362925,30087000
2019-04-15,26.392629623413086,26.486056046540934,26.123197944378582,26.44518109147243,16216000
2019-04-16,26.56780433654785,26.69376080994899,26.36760757411411,26.692927114191136,21116000
2019-04-17,26.73714256286621,26.771343186474,26.512754269700007,26.712949471938597,18138000
2019-04-18,26.57781410217285,26.897294597634804,26.53944341309079,26.779679852032025,26548000
2019-04-22,26.275854110717773,26.516924276140113,26.209121846458444,26.46937815437663,13504000
2019-04-23,26.329242706298828,26.533611187093957,26.20829155544343,26.4226691612176,19777000
2019-04-24,26.2199649810791,26.443517975917764,26.12487115115709,26.240818514328577,23335000
2019-04-25,26.010589599609375,26.104849727961724,25.57265906388295,26.104849727961724,26732000
2019-04-26,25.89297866821289,25.938022113011662,25.4508764063158,25.78787570599302,16404000
2019-04-29,26.08566665649414,26.248326452527213,25.895480576850908,25.962212841659927,13404000
2019-04-30,26.559463500976562,26.561130892548466,26.069815191821345,26.135713752428902,18953000
2019-05-01,26.60116958618164,26.95985604773748,26.58365242918598,26.734634094059754,18158000
2019-05-02,26.344257354736328,26.87561442143664,26.211626512048106,26.691264200575315,20428000
2019-05-03,26.3350772857666,26.413489244382596,25.916332861367987,26.27168298962476,19214000
2019-05-06,25.98973274230957,26.019763288263015,25.470889232416063,25.591008234185235,14371000
2019-05-07,25.632719039916992,25.827076761739743,25.33575945687316,25.746163719712403,21734000
2019-05-08,25.307397842407227,25.663581625234006,25.28404163310858,25.46672123770403,15099000
2019-05-09,25.3632869720459,25.51259966176474,24.76186137009806,25.024620329039276,22282000
2019-05-10,25.354949951171875,25.475068991125518,24.746017791890065,25.294056735243693,21025000
2019-05-13,24.472412109375,24.664268758972085,24.040320584134086,24.509115411136843,37864000
2019-05-14,25.19145393371582,25.408332595115883,24.647585115411385,24.665102274778835,34277000
2019-05-15,25.38915252685547,25.672765092328792,24.908679512195317,25.047149419847564,18166000
2019-05-16,24.79856300354004,25.283205929519678,24.582516480066822,25.003765118296972,34233000
2019-05-17,24.18129539489746,24.488264153561556,24.057839980056734,24.422365579848197,39094000
2019-05-20,22.738204956054688,23.352142362332287,22.408713738109924,23.189480992862293,65162000
2019-05-21,22.966768264770508,23.33796662738087,22.910045117584023,23.113578308624593,25060000
2019-05-22,22.457096099853516,22.94424176017413,22.43624097575989,22.562199052067804,31809000
2019-05-23,21.695514678955078,22.14595706651434,21.535355971358285,22.070049374196902,46607000
2019-05-24,21.349340438842773,22.16681109483152,21.332656974592542,21.91322912052341,27963000
2019-05-28,21.227556228637695,21.49865698241235,20.86136321896434,21.401894152482498,61965000
2019-05-29,21.197525024414062,21.385208428415815,20.985650119972796,21.082411348662692,28132000
2019-05-30,21.40605926513672,21.466117178692727,21.197520777121124,21.242564212288126,17310000
2019-05-31,20.990652084350586,21.33265511657926,20.9372669126268,21.107434732908057,22192000
2019-06-03,21.119112014770508,21.54870082339139,20.95394955797617,21.066558949907403,28911000
2019-06-04,22.163475036621094,22.188500233353736,21.334326262023705,21.434423866908784,36805000
2019-06-05,22.165145874023438,22.648119960498445,21.888206068026026,22.439581410013034,23651000
2019-06-06,22.754886627197266,22.939235223029534,22.128437425321014,22.273580044537663,32687000
2019-06-07,22.928394317626953,23.178641512917235,22.795763479135605,22.92088787229212,25963000
2019-06-10,23.37383460998535,23.75420840085879,23.082715610680285,23.08354930666028,23280000
2019-06-11,23.64659881591797,24.3364439400005,23.307098458889946,24.231340987190926,37105000
2019-06-12,23.333786010742188,23.619901133794766,23.140262018813655,23.49561206629392,27057000
2019-06-13,23.490610122680664,23.597382050669633,23.14026538031975,23.483103678593405,37735000
2019-06-14,22.182659149169922,22.362836094286934,21.47696425793527,21.53035102120639,100797000
2019-06-17,22.185991287231445,22.413715899202334,21.799778580460213,22.091731171419948,35785000
2019-06-18,23.193655014038086,23.608229385519415,22.226870080831286,22.36784264564127,54920000
2019-06-19,23.146944046020508,23.278739600297442,22.831633559859053,23.254549689904422,28920000
